Ref Des,Mid X( mm),Mid  Y( mm),Rotation,Comment,Package,LCSC Part Number
C1,67.6,20.04,90,4.7uF/25V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C10,80.31,43.88,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C10_SUPERCAP,83.82,44.05,270,CPH3225A,CAPCP3225X100N,
C1_BAT,132.46,43.23,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C1_BAT1,124.52,26.9,0,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C1_BAT2,123.13,29.86,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C2,151.84,-7.35,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C2_BAT,130.27,43.23,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C3,126.69,35.74,90,100uF TANT,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C4,150.45,-7.33,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C4_USB,154.77,33.16,0,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C5,20.66,97.35,270,1uF,EAGLE-LTSPICE_C0402,
C5_USB,154.8,31.63,0,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C6,45.85,97.45,270,100nF,EAGLE-LTSPICE_C0402,
C7,75.79,18.92,0,10uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C8,61.8,97.36,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C9,12.43,89.06,0,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
CHG_LED,119.85,40.92,90,,ADAFRUIT_CHIP-LED0603,
C_DELAY,52.84,89.68,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
D1,154.39,35.89,0,USBLC6-2SC6Y,SOT95P280X145-6N,
D10,40.2,20,90,PGB1010603MRPGB1010603MR,DIOC1608X36N,
D11,42.19,20.03,90,PGB1010603MRPGB1010603MR,DIOC1608X36N,
D12,44.08,20.08,90,PGB1010603MRPGB1010603MR,DIOC1608X36N,
D2,125.29,29.77,90,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,
D3,90.29,24.31,0,MBR0530MY_MBR,SOD3716X135N,
D4,90.36,28.67,0,MBR0530MY_MBR,SOD3716X135N,
D5,76.54,36.37,0,MBR0530MY_MBR,SOD3716X135N,
D6,6.62,89.85,90,PGB1010603MRPGB1010603MR,DIOC1608X36N,
D7,76.49,57.59,0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,
D8,9.34,89.94,90,PGB1010603MRPGB1010603MR,DIOC1608X36N,
D9,32.18,38.31,90,PGB1010603MRPGB1010603MR,DIOC1608X36N,
EPD_C1,64.18,10.6,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C10,72.99,11.77,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C11,71.55,11.77,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C12,70.15,11.78,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C2,65.7,10.59,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C5,80.81,11.67,90,0.1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C6,79.22,11.71,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
